      76,       1,      71,    2318,   43666,  264736,  312984,  173757,  120146,  115126,  114836,  114800,  114783,  114777,  114774,  114773,       3,       0,       0,       0
      77,       1,      69,    2342,   44889,  274110,  327636,  180982,  124718,  119693,  119436,  119410,  119397,  119392,  119392,  119393,       5,       0,       0,       0
      78,       1,      74,    2456,   46902,  285839,  340621,  187457,  129279,  124476,  124186,  124160,  124143,  124138,  124137,  124135,      11,       0,       0,       0
      79,       1,      70,    2453,   48508,  296807,  355957,  193766,  134095,  129292,  129046,  129016,  129003,  129003,  129003,  129003,       2,       0,       0,       0
      80,       1,      76,    2590,   50546,  308166,  369517,  201723,  138955,  134276,  134049,  134016,  134002,  133998,  133999,  133998,       7,       0,       0,       0
      81,       1,      75,    2609,   52661,  327466,  380523,  205051,  144125,  139424,  139172,  139141,  139122,  139116,  139115,  139116,       4,       0,       0,       0
      82,       1,      74,    2677,   54428,  339880,  396342,  211821,  149254,  144676,  144422,  144392,  144375,  144369,  144368,  144367,       9,       0,       0,       0
      83,       1,      77,    2763,   56371,  350782,  411099,  221433,  154991,  150064,  149800,  149767,  149751,  149745,  149746,  149747,       8,       0,       0,       0
      84,       1,      77,    2808,   58288,  364818,  426840,  228329,  160457,  155567,  155315,  155276,  155260,  155258,  155257,  155257,       7,       0,       0,       0
      85,       1,      77,    2872,   60366,  377966,  443031,  236388,  166142,  161169,  160945,  160914,  160904,  160902,  160901,  160901,      10,       0,       0,       0
      86,       1,      78,    2952,   63210,  399643,  455645,  239887,  171604,  166997,  166737,  166696,  166684,  166683,  166682,  166682,      10,       0,       0,       0
      87,       1,      82,    3050,   65000,  412792,  474268,  247760,  177463,  172877,  172639,  172606,  172601,  172600,  172598,  172597,      11,       0,       0,       0
      88,       1,      79,    3036,   66476,  427551,  491401,  256866,  183425,  178945,  178704,  178665,  178657,  178656,  178656,  178655,       2,       0,       0,       0
      89,       1,      82,    3166,   68962,  440273,  510555,  265613,  189725,  185150,  184906,  184866,  184851,  184851,  184850,  184846,       8,       0,       0,       0
      90,       1,      85,    3270,   71881,  458544,  525980,  273537,  195799,  191476,  191235,  191201,  191189,  191184,  191184,  191188,       5,       0,       0,       0
      91,       1,      83,    3280,   73962,  481393,  541774,  278203,  202226,  197964,  197722,  197681,  197670,  197668,  197665,  197663,       6,       0,       0,       0
      92,       1,      85,    3414,   77147,  498276,  558878,  287251,  208897,  204563,  204349,  204304,  204293,  204292,  204291,  204291,       3,       0,       0,       0
      93,       1,      85,    3428,   78826,  512907,  581040,  296406,  215472,  211295,  211120,  211073,  211064,  211063,  211062,  211060,       3,       0,       0,       0
      94,       1,      87,    3538,   81601,  531019,  598752,  306105,  222406,  218210,  218037,  217999,  217987,  217983,  217983,  217981,       6,       0,       0,       0
      95,       1,      86,    3571,   83431,  545965,  620927,  316595,  229476,  225289,  225111,  225066,  225054,  225054,  225049,  225050,       4,       0,       0,       0
      96,       1,      90,    3731,   87943,  578382,  631863,  319262,  236514,  232530,  232328,  232288,  232275,  232273,  232274,  232272,       5,       0,       0,       0
      97,       1,      89,    3749,   89318,  592022,  658665,  329437,  243540,  239866,  239704,  239655,  239646,  239644,  239642,  239642,       5,       0,       0,       0
      98,       1,      88,    3798,   91912,  611694,  679681,  338601,  251204,  247436,  247239,  247191,  247172,  247172,  247171,  247170,       5,       0,       0,       0
      99,       1,      93,    3939,   94760,  628518,  703462,  348999,  258701,  255106,  254916,  254868,  254860,  254854,  254854,  254853,       1,       0,       0,       0
     100,       1,      92,    3969,   97391,  649021,  723632,  360441,  266611,  262966,  262765,  262714,  262702,  262700,  262696,  262695,       3,       0,       0,       0
     101,       1,      92,    4067,  100885,  678387,  740075,  367117,  274653,  270892,  270737,  270704,  270700,  270697,  270695,  270695,       4,       0,       0,       0
     102,       1,      96,    4205,  104676,  703190,  760693,  375095,  282583,  279070,  278901,  278866,  278860,  278860,  278858,  278855,       6,       0,       0,       0
     103,       1,      94,    4219,  107357,  719844,  786874,  387690,  291026,  287388,  287236,  287196,  287189,  287186,  287183,  287180,       2,       0,       0,       0
     104,       1,      95,    4317,  110554,  742356,  811020,  397207,  299461,  295888,  295710,  295675,  295671,  295671,  295670,  295670,       9,       0,       0,       0
     105,       1,      98,    4447,  114046,  761283,  835382,  410807,  308174,  304539,  304369,  304332,  304327,  304323,  304320,  304317,       4,       0,       0,       0
     106,       1,      98,    4510,  117760,  799302,  851493,  414954,  316729,  313330,  313182,  313145,  313142,  313141,  313141,  313140,       3,       0,       0,       0
     107,       1,      95,    4481,  119543,  817182,  881748,  427966,  325728,  322335,  322162,  322138,  322135,  322132,  322129,  322127,       3,       0,       0,       0
     108,       1,     102,    4714,  123307,  845448,  905563,  436109,  334765,  331497,  331330,  331295,  331292,  331290,  331290,  331288,       4,       0,       0,       0
     109,       1,     102,    4774,  126710,  863947,  934806,  450150,  344188,  340820,  340659,  340627,  340621,  340622,  340618,  340617,       3,       0,       0,       0
     110,       1,      98,    4791,  130054,  890462,  960341,  461308,  353626,  350335,  350178,  350135,  350132,  350126,  350126,  350123,       3,       0,       0,       0
     111,       1,     106,    4993,  134952,  927266,  976471,  471176,  363198,  359999,  359840,  359810,  359807,  359807,  359804,  359805,       6,       0,       0,       0
     112,       1,     101,    5003,  138153,  955023, 1003541,  482234,  372936,  369864,  369706,  369673,  369667,  369664,  369663,  369661,       5,       0,       0,       0
